event_id,user_id,session_id,event_type,product_id,query_text,duration_ms,created_at,page,product_type,time_since_prev_s,session_event_index,device,referrer,preferred_brand,preferred_budget,preferred_purpose,cart_size
EVT_000019,US_001,SSN_US_001_01,add_to_wishlist,3,,927,2026-04-08T06:09:08Z,wishlist,LAPTOP,147,19,mobile,organic,Lenovo,25-30tr,gaming,0
EVT_000020,US_001,SSN_US_001_01,search,,laptop gaming lenovo 25-30tr,,2026-04-08T06:12:30Z,products_list,LAPTOP,202,20,mobile,organic,Lenovo,25-30tr,gaming,0
EVT_000021,US_001,SSN_US_001_02,search,,laptop asus 10-15tr,,2026-04-08T06:47:00Z,products_list,LAPTOP,0,1,mobile,organic,Lenovo,25-30tr,gaming,0
EVT_000022,US_001,SSN_US_001_02,filter,,filter: purpose=gaming,,2026-04-08T06:47:49Z,products_list,LAPTOP,49,2,mobile,organic,Lenovo,25-30tr,gaming,0
EVT_000023,US_001,SSN_US_001_02,view,13,,65164,2026-04-08T06:49:34Z,product_detail,LAPTOP,105,3,mobile,organic,Lenovo,25-30tr,gaming,0
EVT_000024,US_001,SSN_US_001_02,add_to_wishlist,13,,1139,2026-04-08T06:52:59Z,wishlist,LAPTOP,205,4,mobile,organic,Lenovo,25-30tr,gaming,0
EVT_000025,US_001,SSN_US_001_02,search,,laptop gaming lenovo 25-30tr,,2026-04-08T06:53:50Z,products_list,LAPTOP,51,5,mobile,organic,Lenovo,25-30tr,gaming,0
EVT_000026,US_001,SSN_US_001_02,view,9,,24973,2026-04-08T06:56:18Z,product_detail,LAPTOP,148,6,mobile,organic,Lenovo,25-30tr,gaming,0
EVT_000027,US_001,SSN_US_001_02,add_to_wishlist,9,,2382,2026-04-08T06:59:47Z,wishlist,LAPTOP,209,7,mobile,organic,Lenovo,25-30tr,gaming,0
EVT_000028,US_001,SSN_US_001_02,search,,laptop gaming lenovo 25-30tr,,2026-04-08T07:02:12Z,products_list,LAPTOP,145,8,mobile,organic,Lenovo,25-30tr,gaming,0
EVT_000029,US_001,SSN_US_001_02,view,9,,57909,2026-04-08T07:02:22Z,product_detail,LAPTOP,10,9,mobile,organic,Lenovo,25-30tr,gaming,0
EVT_000030,US_001,SSN_US_001_02,add_to_wishlist,9,,1007,2026-04-08T07:05:05Z,wishlist,LAPTOP,163,10,mobile,organic,Lenovo,25-30tr,gaming,0
EVT_000031,US_001,SSN_US_001_03,search,,laptop ryzen ai dưới 10tr,,2026-04-08T08:19:00Z,products_list,LAPTOP,0,1,mobile,organic,Lenovo,25-30tr,gaming,0
EVT_000032,US_001,SSN_US_001_03,filter,,filter: ram>=32,,2026-04-08T08:22:53Z,products_list,LAPTOP,233,2,mobile,organic,Lenovo,25-30tr,gaming,0
EVT_000033,US_001,SSN_US_001_03,view,1,,55182,2026-04-08T08:25:38Z,product_detail,LAPTOP,165,3,mobile,organic,Lenovo,25-30tr,gaming,0
EVT_000034,US_001,SSN_US_001_03,add_to_wishlist,1,,761,2026-04-08T08:27:36Z,wishlist,LAPTOP,118,4,mobile,organic,Lenovo,25-30tr,gaming,0
EVT_000035,US_001,SSN_US_001_03,search,,laptop iris xe dưới 30tr,,2026-04-08T08:28:40Z,products_list,LAPTOP,64,5,mobile,organic,Lenovo,25-30tr,gaming,0
EVT_000036,US_001,SSN_US_001_03,view,13,,52911,2026-04-08T08:31:08Z,product_detail,LAPTOP,148,6,mobile,organic,Lenovo,25-30tr,gaming,0
EVT_000037,US_001,SSN_US_001_03,add_to_wishlist,13,,2168,2026-04-08T08:34:31Z,wishlist,LAPTOP,203,7,mobile,organic,Lenovo,25-30tr,gaming,0
EVT_000038,US_001,SSN_US_001_03,search,,laptop rtx 2050 20-25tr,,2026-04-08T08:37:47Z,products_list,LAPTOP,196,8,mobile,organic,Lenovo,25-30tr,gaming,0
EVT_000039,US_001,SSN_US_001_03,view,3,,35370,2026-04-08T08:40:53Z,product_detail,LAPTOP,186,9,mobile,organic,Lenovo,25-30tr,gaming,0
EVT_000040,US_001,SSN_US_001_03,add_to_wishlist,3,,1680,2026-04-08T08:41:54Z,wishlist,LAPTOP,61,10,mobile,organic,Lenovo,25-30tr,gaming,0
EVT_000041,US_002,SSN_US_002_01,search,,laptop pin tốt cho sinh viên,,2026-04-01T18:35:00Z,products_list,LAPTOP,0,1,desktop,organic,Dell,25-30tr,gaming,0
EVT_000042,US_002,SSN_US_002_01,filter,,filter: purpose=gaming,,2026-04-01T18:35:11Z,products_list,LAPTOP,11,2,desktop,organic,Dell,25-30tr,gaming,0
EVT_000043,US_002,SSN_US_002_01,view,14,,39654,2026-04-01T18:36:39Z,product_detail,LAPTOP,88,3,desktop,organic,Dell,25-30tr,gaming,0
EVT_000044,US_002,SSN_US_002_01,add_to_wishlist,14,,745,2026-04-01T18:38:06Z,wishlist,LAPTOP,87,4,desktop,organic,Dell,25-30tr,gaming,0
EVT_000045,US_002,SSN_US_002_01,search,,laptop hp tầm 20tr,,2026-04-01T18:38:23Z,products_list,LAPTOP,17,5,desktop,organic,Dell,25-30tr,gaming,0
EVT_000046,US_002,SSN_US_002_01,view,3,,53339,2026-04-01T18:38:35Z,product_detail,LAPTOP,12,6,desktop,organic,Dell,25-30tr,gaming,0
EVT_000047,US_002,SSN_US_002_01,add_to_wishlist,3,,870,2026-04-01T18:39:31Z,wishlist,LAPTOP,56,7,desktop,organic,Dell,25-30tr,gaming,0
EVT_000048,US_002,SSN_US_002_01,search,,laptop gaming dell 25-30tr,,2026-04-01T18:40:19Z,products_list,LAPTOP,48,8,desktop,organic,Dell,25-30tr,gaming,0
EVT_000049,US_002,SSN_US_002_01,view,10,,48976,2026-04-01T18:40:37Z,product_detail,LAPTOP,18,9,desktop,organic,Dell,25-30tr,gaming,0
EVT_000050,US_002,SSN_US_002_01,add_to_wishlist,10,,1097,2026-04-01T18:41:13Z,wishlist,LAPTOP,36,10,desktop,organic,Dell,25-30tr,gaming,0
EVT_000051,US_002,SSN_US_002_01,search,,laptop gaming dell 25-30tr,,2026-04-01T18:41:42Z,products_list,LAPTOP,29,11,desktop,organic,Dell,25-30tr,gaming,0
EVT_000052,US_002,SSN_US_002_01,view,4,,24181,2026-04-01T18:42:11Z,product_detail,LAPTOP,29,12,desktop,organic,Dell,25-30tr,gaming,0
EVT_000053,US_002,SSN_US_002_01,add_to_wishlist,4,,798,2026-04-01T18:43:24Z,wishlist,LAPTOP,73,13,desktop,organic,Dell,25-30tr,gaming,0
EVT_000054,US_002,SSN_US_002_01,search,,laptop gaming dell 25-30tr,,2026-04-01T18:44:26Z,products_list,LAPTOP,62,14,desktop,organic,Dell,25-30tr,gaming,0
EVT_000055,US_002,SSN_US_002_01,view,9,,48606,2026-04-01T18:44:48Z,product_detail,LAPTOP,22,15,desktop,organic,Dell,25-30tr,gaming,0
EVT_000056,US_002,SSN_US_002_02,search,,laptop màn hình 16 inch 16:10,,2026-04-01T20:33:00Z,products_list,LAPTOP,0,1,desktop,organic,Dell,25-30tr,gaming,0
EVT_000057,US_002,SSN_US_002_02,filter,,filter: purpose=gaming,,2026-04-01T20:33:56Z,products_list,LAPTOP,56,2,desktop,organic,Dell,25-30tr,gaming,0
EVT_000058,US_002,SSN_US_002_02,view,9,,24416,2026-04-01T20:34:16Z,product_detail,LAPTOP,20,3,desktop,organic,Dell,25-30tr,gaming,0
EVT_000059,US_002,SSN_US_002_02,add_to_cart,9,,5928,2026-04-01T20:35:33Z,cart,LAPTOP,77,4,desktop,organic,Dell,25-30tr,gaming,1
EVT_000060,US_002,SSN_US_002_02,remove_from_cart,9,,920,2026-04-01T20:36:09Z,cart,LAPTOP,36,5,desktop,organic,Dell,25-30tr,gaming,0
EVT_000061,US_002,SSN_US_002_02,view,15,,67385,2026-04-01T20:37:28Z,product_detail,LAPTOP,79,6,desktop,organic,Dell,25-30tr,gaming,0
EVT_000062,US_002,SSN_US_002_02,add_to_cart,9,,5443,2026-04-01T20:38:49Z,cart,LAPTOP,81,7,desktop,organic,Dell,25-30tr,gaming,1
EVT_000063,US_002,SSN_US_002_02,search,,laptop core i7 dưới 30tr,,2026-04-01T20:38:59Z,products_list,LAPTOP,10,8,desktop,organic,Dell,25-30tr,gaming,1
EVT_000064,US_002,SSN_US_002_02,view,3,,42836,2026-04-01T20:40:23Z,product_detail,LAPTOP,84,9,desktop,organic,Dell,25-30tr,gaming,1
EVT_000065,US_002,SSN_US_002_02,add_to_cart,3,,4698,2026-04-01T20:40:38Z,cart,LAPTOP,15,10,desktop,organic,Dell,25-30tr,gaming,2
EVT_000066,US_002,SSN_US_002_02,search,,laptop radeon 20-25tr,,2026-04-01T20:41:36Z,products_list,LAPTOP,58,11,desktop,organic,Dell,25-30tr,gaming,2
EVT_000067,US_002,SSN_US_002_02,view,15,,65874,2026-04-01T20:43:05Z,product_detail,LAPTOP,89,12,desktop,organic,Dell,25-30tr,gaming,2
EVT_000068,US_002,SSN_US_002_02,add_to_cart,15,,5486,2026-04-01T20:44:24Z,cart,LAPTOP,79,13,desktop,organic,Dell,25-30tr,gaming,3
EVT_000069,US_002,SSN_US_002_02,search,,laptop asus 10-15tr,,2026-04-01T20:45:41Z,products_list,LAPTOP,77,14,desktop,organic,Dell,25-30tr,gaming,3
EVT_000070,US_002,SSN_US_002_02,view,3,,55957,2026-04-01T20:46:52Z,product_detail,LAPTOP,71,15,desktop,organic,Dell,25-30tr,gaming,3
EVT_000071,US_002,SSN_US_002_02,add_to_cart,3,,1999,2026-04-01T20:47:37Z,cart,LAPTOP,45,16,desktop,organic,Dell,25-30tr,gaming,4
EVT_000072,US_002,SSN_US_002_02,search,,laptop gaming dell 25-30tr,,2026-04-01T20:48:15Z,products_list,LAPTOP,38,17,desktop,organic,Dell,25-30tr,gaming,4
EVT_000073,US_002,SSN_US_002_02,view,15,,49246,2026-04-01T20:48:46Z,product_detail,LAPTOP,31,18,desktop,organic,Dell,25-30tr,gaming,4
EVT_000074,US_002,SSN_US_002_02,add_to_cart,15,,8485,2026-04-01T20:50:16Z,cart,LAPTOP,90,19,desktop,organic,Dell,25-30tr,gaming,5
EVT_000075,US_002,SSN_US_002_02,search,,laptop pin tốt cho sinh viên,,2026-04-01T20:51:01Z,products_list,LAPTOP,45,20,desktop,organic,Dell,25-30tr,gaming,5
EVT_000076,US_002,SSN_US_002_02,view,2,,73793,2026-04-01T20:51:36Z,product_detail,LAPTOP,35,21,desktop,organic,Dell,25-30tr,gaming,5
EVT_000077,US_002,SSN_US_002_02,add_to_cart,2,,6374,2026-04-01T20:52:14Z,cart,LAPTOP,38,22,desktop,organic,Dell,25-30tr,gaming,6
EVT_000078,US_002,SSN_US_002_02,checkout_start,,,3113,2026-04-01T20:53:09Z,checkout,LAPTOP,55,23,desktop,organic,Dell,25-30tr,gaming,6
EVT_000079,US_002,SSN_US_002_02,purchase,2,,7853,2026-04-01T20:53:30Z,checkout_success,LAPTOP,21,24,desktop,organic,Dell,25-30tr,gaming,5
EVT_000080,US_003,SSN_US_003_01,search,,laptop gaming acer tầm 20tr,,2026-04-04T02:34:00Z,products_list,LAPTOP,0,1,mobile,ads,Acer,tầm 20tr,gaming,0
EVT_000081,US_003,SSN_US_003_01,filter,,filter: battery>=57wh,,2026-04-04T02:37:13Z,products_list,LAPTOP,193,2,mobile,ads,Acer,tầm 20tr,gaming,0
EVT_000082,US_003,SSN_US_003_01,view,8,,72640,2026-04-04T02:38:50Z,product_detail,LAPTOP,97,3,mobile,ads,Acer,tầm 20tr,gaming,0
EVT_000083,US_003,SSN_US_003_01,add_to_wishlist,8,,1712,2026-04-04T02:39:52Z,wishlist,LAPTOP,62,4,mobile,ads,Acer,tầm 20tr,gaming,0
EVT_000084,US_003,SSN_US_003_01,search,,laptop gaming acer tầm 20tr,,2026-04-04T02:42:57Z,products_list,LAPTOP,185,5,mobile,ads,Acer,tầm 20tr,gaming,0
EVT_000085,US_003,SSN_US_003_01,view,14,,52664,2026-04-04T02:45:49Z,product_detail,LAPTOP,172,6,mobile,ads,Acer,tầm 20tr,gaming,0
EVT_000086,US_003,SSN_US_003_01,add_to_wishlist,14,,616,2026-04-04T02:49:37Z,wishlist,LAPTOP,228,7,mobile,ads,Acer,tầm 20tr,gaming,0
EVT_000087,US_003,SSN_US_003_01,search,,laptop gaming acer tầm 20tr,,2026-04-04T02:50:54Z,products_list,LAPTOP,77,8,mobile,ads,Acer,tầm 20tr,gaming,0
EVT_000088,US_003,SSN_US_003_01,view,14,,24788,2026-04-04T02:53:13Z,product_detail,LAPTOP,139,9,mobile,ads,Acer,tầm 20tr,gaming,0
EVT_000089,US_003,SSN_US_003_01,add_to_wishlist,14,,2398,2026-04-04T02:55:28Z,wishlist,LAPTOP,135,10,mobile,ads,Acer,tầm 20tr,gaming,0
EVT_000090,US_003,SSN_US_003_01,search,,laptop gaming rtx,,2026-04-04T02:56:42Z,products_list,LAPTOP,74,11,mobile,ads,Acer,tầm 20tr,gaming,0
EVT_000091,US_003,SSN_US_003_01,view,12,,54256,2026-04-04T03:00:28Z,product_detail,LAPTOP,226,12,mobile,ads,Acer,tầm 20tr,gaming,0
EVT_000092,US_003,SSN_US_003_01,add_to_wishlist,12,,918,2026-04-04T03:00:51Z,wishlist,LAPTOP,23,13,mobile,ads,Acer,tầm 20tr,gaming,0
EVT_000093,US_003,SSN_US_003_01,search,,laptop có thunderbolt 4,,2026-04-04T03:01:24Z,products_list,LAPTOP,33,14,mobile,ads,Acer,tầm 20tr,gaming,0
EVT_000094,US_003,SSN_US_003_02,search,,laptop đồ hoạ kỹ thuật tầm 20 triệu,,2026-04-04T05:26:00Z,products_list,LAPTOP,0,1,mobile,ads,Acer,tầm 20tr,gaming,0
EVT_000095,US_003,SSN_US_003_02,filter,,filter: purpose=gaming,,2026-04-04T05:27:41Z,products_list,LAPTOP,101,2,mobile,ads,Acer,tầm 20tr,gaming,0
EVT_000096,US_003,SSN_US_003_02,view,8,,28589,2026-04-04T05:28:44Z,product_detail,LAPTOP,63,3,mobile,ads,Acer,tầm 20tr,gaming,0
EVT_000097,US_003,SSN_US_003_02,add_to_wishlist,8,,2118,2026-04-04T05:31:48Z,wishlist,LAPTOP,184,4,mobile,ads,Acer,tầm 20tr,gaming,0
EVT_000098,US_003,SSN_US_003_02,search,,laptop core i5 15-20tr,,2026-04-04T05:33:01Z,products_list,LAPTOP,73,5,mobile,ads,Acer,tầm 20tr,gaming,0
EVT_000099,US_003,SSN_US_003_02,view,2,,22931,2026-04-04T05:36:01Z,product_detail,LAPTOP,180,6,mobile,ads,Acer,tầm 20tr,gaming,0
EVT_000100,US_003,SSN_US_003_02,add_to_wishlist,2,,2408,2026-04-04T05:36:37Z,wishlist,LAPTOP,36,7,mobile,ads,Acer,tầm 20tr,gaming,0
EVT_000101,US_003,SSN_US_003_02,search,,laptop gaming acer tầm 20tr,,2026-04-04T05:38:17Z,products_list,LAPTOP,100,8,mobile,ads,Acer,tầm 20tr,gaming,0
EVT_000102,US_003,SSN_US_003_02,view,2,,72696,2026-04-04T05:41:46Z,product_detail,LAPTOP,209,9,mobile,ads,Acer,tầm 20tr,gaming,0
EVT_000103,US_003,SSN_US_003_02,add_to_wishlist,2,,1356,2026-04-04T05:44:19Z,wishlist,LAPTOP,153,10,mobile,ads,Acer,tầm 20tr,gaming,0
EVT_000104,US_003,SSN_US_003_02,search,,laptop 32gb ram,,2026-04-04T05:48:15Z,products_list,LAPTOP,236,11,mobile,ads,Acer,tầm 20tr,gaming,0
EVT_000105,US_003,SSN_US_003_02,view,2,,38202,2026-04-04T05:52:08Z,product_detail,LAPTOP,233,12,mobile,ads,Acer,tầm 20tr,gaming,0
EVT_000106,US_003,SSN_US_003_02,add_to_wishlist,2,,1346,2026-04-04T05:54:02Z,wishlist,LAPTOP,114,13,mobile,ads,Acer,tầm 20tr,gaming,0
EVT_000107,US_003,SSN_US_003_02,search,,laptop gaming acer tầm 20tr,,2026-04-04T05:56:50Z,products_list,LAPTOP,168,14,mobile,ads,Acer,tầm 20tr,gaming,0
EVT_000108,US_003,SSN_US_003_02,view,14,,20614,2026-04-04T06:00:11Z,product_detail,LAPTOP,201,15,mobile,ads,Acer,tầm 20tr,gaming,0
EVT_000109,US_003,SSN_US_003_02,add_to_wishlist,14,,2440,2026-04-04T06:01:00Z,wishlist,LAPTOP,49,16,mobile,ads,Acer,tầm 20tr,gaming,0
EVT_000110,US_003,SSN_US_003_03,search,,laptop gaming acer tầm 20tr,,2026-04-04T06:36:00Z,products_list,LAPTOP,0,1,mobile,ads,Acer,tầm 20tr,gaming,0
EVT_000111,US_003,SSN_US_003_03,filter,,filter: purpose=văn phòng,,2026-04-04T06:37:06Z,products_list,LAPTOP,66,2,mobile,ads,Acer,tầm 20tr,gaming,0
EVT_000112,US_003,SSN_US_003_03,view,8,,69274,2026-04-04T06:38:07Z,product_detail,LAPTOP,61,3,mobile,ads,Acer,tầm 20tr,gaming,0
EVT_000113,US_003,SSN_US_003_03,add_to_wishlist,8,,1443,2026-04-04T06:41:46Z,wishlist,LAPTOP,219,4,mobile,ads,Acer,tầm 20tr,gaming,0
EVT_000114,US_003,SSN_US_003_03,search,,laptop gaming acer tầm 20tr,,2026-04-04T06:43:53Z,products_list,LAPTOP,127,5,mobile,ads,Acer,tầm 20tr,gaming,0
EVT_000115,US_003,SSN_US_003_03,view,13,,34263,2026-04-04T06:45:32Z,product_detail,LAPTOP,99,6,mobile,ads,Acer,tầm 20tr,gaming,0
EVT_000116,US_003,SSN_US_003_03,add_to_wishlist,13,,1146,2026-04-04T06:47:00Z,wishlist,LAPTOP,88,7,mobile,ads,Acer,tầm 20tr,gaming,0
EVT_000117,US_003,SSN_US_003_03,search,,laptop core ultra 7,,2026-04-04T06:50:40Z,products_list,LAPTOP,220,8,mobile,ads,Acer,tầm 20tr,gaming,0
EVT_000118,US_003,SSN_US_003_03,view,2,,74268,2026-04-04T06:54:13Z,product_detail,LAPTOP,213,9,mobile,ads,Acer,tầm 20tr,gaming,0
EVT_000119,US_003,SSN_US_003_03,add_to_wishlist,2,,1563,2026-04-04T06:58:06Z,wishlist,LAPTOP,233,10,mobile,ads,Acer,tầm 20tr,gaming,0
EVT_000120,US_004,SSN_US_004_01,search,,laptop mỏng nhẹ dưới 20tr,,2026-04-21T16:25:00Z,products_list,LAPTOP,0,1,desktop,direct,Lenovo,dưới 10tr,mỏng nhẹ,0
EVT_000121,US_004,SSN_US_004_01,filter,,filter: purpose=mỏng nhẹ,,2026-04-21T16:28:43Z,products_list,LAPTOP,223,2,desktop,direct,Lenovo,dưới 10tr,mỏng nhẹ,0
EVT_000122,US_004,SSN_US_004_01,view,3,,56049,2026-04-21T16:28:53Z,product_detail,LAPTOP,10,3,desktop,direct,Lenovo,dưới 10tr,mỏng nhẹ,0
EVT_000123,US_004,SSN_US_004_01,add_to_wishlist,3,,1143,2026-04-21T16:30:20Z,wishlist,LAPTOP,87,4,desktop,direct,Lenovo,dưới 10tr,mỏng nhẹ,0
EVT_000124,US_004,SSN_US_004_01,search,,laptop ryzen ai 15-20tr,,2026-04-21T16:31:43Z,products_list,LAPTOP,83,5,desktop,direct,Lenovo,dưới 10tr,mỏng nhẹ,0
EVT_000125,US_004,SSN_US_004_01,view,7,,46599,2026-04-21T16:32:46Z,product_detail,LAPTOP,63,6,desktop,direct,Lenovo,dưới 10tr,mỏng nhẹ,0
EVT_000126,US_004,SSN_US_004_01,add_to_wishlist,7,,1841,2026-04-21T16:34:46Z,wishlist,LAPTOP,120,7,desktop,direct,Lenovo,dưới 10tr,mỏng nhẹ,0
EVT_000127,US_004,SSN_US_004_01,search,,laptop mỏng nhẹ lenovo dưới 10tr,,2026-04-21T16:38:17Z,products_list,LAPTOP,211,8,desktop,direct,Lenovo,dưới 10tr,mỏng nhẹ,0
EVT_000128,US_004,SSN_US_004_01,view,13,,30457,2026-04-21T16:40:55Z,product_detail,LAPTOP,158,9,desktop,direct,Lenovo,dưới 10tr,mỏng nhẹ,0
EVT_000129,US_004,SSN_US_004_01,add_to_wishlist,13,,1121,2026-04-21T16:43:40Z,wishlist,LAPTOP,165,10,desktop,direct,Lenovo,dưới 10tr,mỏng nhẹ,0
EVT_000130,US_004,SSN_US_004_01,search,,laptop ryzen ai 15-20tr,,2026-04-21T16:46:37Z,products_list,LAPTOP,177,11,desktop,direct,Lenovo,dưới 10tr,mỏng nhẹ,0
EVT_000131,US_004,SSN_US_004_01,view,13,,63013,2026-04-21T16:48:09Z,product_detail,LAPTOP,92,12,desktop,direct,Lenovo,dưới 10tr,mỏng nhẹ,0
EVT_000132,US_004,SSN_US_004_01,add_to_wishlist,13,,2073,2026-04-21T16:50:18Z,wishlist,LAPTOP,129,13,desktop,direct,Lenovo,dưới 10tr,mỏng nhẹ,0
EVT_000133,US_004,SSN_US_004_01,search,,laptop mỏng nhẹ lenovo dưới 10tr,,2026-04-21T16:52:21Z,products_list,LAPTOP,123,14,desktop,direct,Lenovo,dưới 10tr,mỏng nhẹ,0
EVT_000134,US_004,SSN_US_004_01,view,1,,41869,2026-04-21T16:54:24Z,product_detail,LAPTOP,123,15,desktop,direct,Lenovo,dưới 10tr,mỏng nhẹ,0
EVT_000135,US_004,SSN_US_004_01,add_to_wishlist,1,,1483,2026-04-21T16:57:26Z,wishlist,LAPTOP,182,16,desktop,direct,Lenovo,dưới 10tr,mỏng nhẹ,0
EVT_000136,US_004,SSN_US_004_01,search,,laptop msi 20-25tr,,2026-04-21T16:58:30Z,products_list,LAPTOP,64,17,desktop,direct,Lenovo,dưới 10tr,mỏng nhẹ,0
EVT_000137,US_004,SSN_US_004_01,view,13,,73575,2026-04-21T17:00:50Z,product_detail,LAPTOP,140,18,desktop,direct,Lenovo,dưới 10tr,mỏng nhẹ,0
EVT_000138,US_004,SSN_US_004_01,add_to_wishlist,13,,855,2026-04-21T17:03:01Z,wishlist,LAPTOP,131,19,desktop,direct,Lenovo,dưới 10tr,mỏng nhẹ,0
EVT_000139,US_004,SSN_US_004_01,search,,laptop mỏng nhẹ lenovo dưới 10tr,,2026-04-21T17:06:34Z,products_list,LAPTOP,213,20,desktop,direct,Lenovo,dưới 10tr,mỏng nhẹ,0
EVT_000140,US_004,SSN_US_004_01,view,7,,61705,2026-04-21T17:10:34Z,product_detail,LAPTOP,240,21,desktop,direct,Lenovo,dưới 10tr,mỏng nhẹ,0
EVT_000141,US_004,SSN_US_004_01,add_to_wishlist,7,,1436,2026-04-21T17:14:07Z,wishlist,LAPTOP,213,22,desktop,direct,Lenovo,dưới 10tr,mỏng nhẹ,0
EVT_000142,US_004,SSN_US_004_01,search,,laptop asus 10-15tr,,2026-04-21T17:17:25Z,products_list,LAPTOP,198,23,desktop,direct,Lenovo,dưới 10tr,mỏng nhẹ,0
EVT_000143,US_004,SSN_US_004_01,view,1,,45554,2026-04-21T17:18:18Z,product_detail,LAPTOP,53,24,desktop,direct,Lenovo,dưới 10tr,mỏng nhẹ,0
EVT_000144,US_004,SSN_US_004_01,add_to_wishlist,1,,1961,2026-04-21T17:21:16Z,wishlist,LAPTOP,178,25,desktop,direct,Lenovo,dưới 10tr,mỏng nhẹ,0
EVT_000145,US_004,SSN_US_004_01,search,,laptop mỏng nhẹ lenovo dưới 10tr,,2026-04-21T17:21:47Z,products_list,LAPTOP,31,26,desktop,direct,Lenovo,dưới 10tr,mỏng nhẹ,0
EVT_000146,US_004,SSN_US_004_01,view,1,,58338,2026-04-21T17:23:09Z,product_detail,LAPTOP,82,27,desktop,direct,Lenovo,dưới 10tr,mỏng nhẹ,0
EVT_000147,US_004,SSN_US_004_01,add_to_wishlist,1,,1765,2026-04-21T17:25:30Z,wishlist,LAPTOP,141,28,desktop,direct,Lenovo,dưới 10tr,mỏng nhẹ,0
EVT_000148,US_004,SSN_US_004_01,search,,laptop intel arc tầm 20tr,,2026-04-21T17:28:29Z,products_list,LAPTOP,179,29,desktop,direct,Lenovo,dưới 10tr,mỏng nhẹ,0
EVT_000149,US_004,SSN_US_004_02,search,,laptop acer 10-15tr,,2026-04-21T19:17:00Z,products_list,LAPTOP,0,1,desktop,direct,Lenovo,dưới 10tr,mỏng nhẹ,0
EVT_000150,US_004,SSN_US_004_02,filter,,filter: brand=lenovo,,2026-04-21T19:17:47Z,products_list,LAPTOP,47,2,desktop,direct,Lenovo,dưới 10tr,mỏng nhẹ,0
